Nome do Prato,Tempo de Preparo,Receita,Legumes,Proteínas,Carboidratos,Requisitos,Calorias
Burrito Brasileiro,10',"-     Aquecer a frigideira em fogo baixo por 1 minuto.
-     Colocar uma Tortilla na frigideira e inserir um punhado de Frango desfiado
-     Completar com uma colher de requeijão, cenoura ralada, milho ou o que quiser e fechar.
Dica: vc pode trocar o requeijão por queijo minas.","CENOURA RALADA, MILHO EM LATA",PEITO DE FRANGO DESFIADO,"TORTILLA INTEGRAL,  REQUEIJÃO","CENOURA RALADA, LATA DE MILHO, PEITO DE FRANGO COZIDO DESFIADO",450
Burrito de Pollo,10',"-     Aquecer a frigideira em fogo baixo por 1 minuto.
-     Colocar uma Tortilla na frigideira e inserir um punhado de Picadinho de Frango
-     Completar com requeijão, pasta de feijão, cenoura ralada, milho ou o que quiser e fechar.
Dica: Porque não colocar um pouco de tabasco direto no picadinho?","CENOURA RALADA, MILHO EM LATA, PASTA DE FEIJÃO",PICADINHO DE FRANGO,"TORTILLA INTEGRAL,  REQUEIJÃO","CENOURA RALADA, LATA DE MILHO, PICADINHO DE FRANGO COZIDO",480
Burrito Arranchera,10',"-     Aquecer a frigideira em fogo baixo por 1 minuto.
-     Colocar uma Tortilla na frigideira e inserir um punhado de Picadinho Refogado
-     Completar com requeijão, pasta de feijão, cenoura ralada ou o que quiser e fechar.
Dica: Pode colocar um abacate pisado, trocar os queijos ou tirar o feijão.","CENOURA RALADA, PASTA DE FEIJÃO",PICADINHO REFOGADO,"TORTILLA INTEGRAL,  REQUEIJÃO","CENOURA RALADA, PICADINHO REFOGADO",500
Burrito de Chili,10',"-     Aquecer a frigideira em fogo baixo por 1 minuto.
-     Colocar uma Tortilla na frigideira e inserir um punhado de Carne Moída com molho.
-     Completar com queijo minas ralado, pasta de feijão, cenoura ralada, tomate cortado pequeno ou o que quiser e fechar.
Dica: Pode colocar um abacate cortado pequeno e tirar o feijão.","TOMATE, CENOURA RALADA, PASTA DE FEIJÃO",CARNE MOIDA COM MOLHO,"TORTILLA INTEGRAL,  QUEIJO MINAS","TOMATE CORTADO, CENOURA RALADA, CARNE MOIDA COM MOLHO DE TOMATE",520
Wrap Light,10',"-  Colocar frango desfiado em uma tortilla aberta em um prato.
-     Completar com queijo minas ralado, cenoura ralada, alface limpa, tomate cortado pequeno e fechar.
- Aquecer o Wrap na frigideira por dois minutos de cada lado.
Dica: Veja que neste caso você monta o wrap fora da frigideira.","ALFACE, TOMATE, CENOURA RALADA",PEITO DE FRANGO DESFIADO,"TORTILLA INTEGRAL,  QUEIJO MINAS","ALFACE LIMPA, TOMATE CORTADO, CENOURA RALADA, PEITO DE FRANGO COZIDO DESFIADO",400
Omelete de Frango Desfiado,15',"- Misturar (sem bater) dois ovos em uma vasilha de vidro com uma pisca de sal e pimenta do reino.
- Pre-aquecer a frigideira por três minutos em fogo baixo.
- Distribuir com a espátula de silicone umas duas gotinhas de azeite ou de manteiga e jogar a mistura de ovos em seguida.
- Distribuir um punhado de frango desfiado apenas na metade do omelete mais próxima da alça da frigideira e completar com queijo minas ralado e tomate cortado pequeno.
- Conferir com a espatula que o ovo esteja cozido por baixo, ir separando com a espátula a metade sem recheio e jogar por cima da outra. 
- Aguardar até o ponto desejado e retirar. 
Dica: Ele vai quebrar, vai ver.",TOMATE,"PEITO DE FRANGO DESFIADO, OMELETE",QUEIJO MINAS,"TOMATE CORTADO, PEITO DE FRANGO COZIDO DESFIADO, OVOS FRESCOS",350
Omelete Caprese,15',"- Misturar (sem bater) dois ovos em uma vasilha de vidro com uma pisca de sal e pimenta do reino.
- Pre-aquecer a frigideira por três minutos em fogo baixo.
- Distribuir com a espátula de silicone umas duas gotinhas de azeite ou de manteiga e jogar a mistura de ovos em seguida.
- Distribuir um punhado de queijo minas ralado apenas na metade do omelete mais próxima da alça da frigideira e completar com tomate cortado pequeno sal e orégano.
- Conferir com a espátula que o ovo esteja cozido por baixo, ir separando com a espátula a metade sem recheio e jogar por cima da outra. 
- Aguardar até o ponto desejado e retirar. 
Dica: quanto mais quente a frigideira menos chances de quebrar. Mas vai quebrar.",TOMATE,OMELETE,QUEIJO MINAS,"TOMATE CORTADO, OVOS FRESCOS",300
Omelete de Presunto e Quejo,15',"- Misturar (sem bater) dois ovos em uma vasilha de vidro com uma pisca de sal e pimenta do reino.
- Pre-aquecer a frigideira por três minutos em fogo baixo.
- Distribuir com a espátula de silicone umas duas gotinhas de azeite ou de manteiga e jogar a mistura de ovos em seguida.
- Distribuir um punhado de queijo minas ralado apenas na metade do omelete mais próxima da alça da frigideira e completar presunto cru despedaçado.
- Conferir com a espátula que o ovo esteja cozido por baixo, ir separando com a espátula a metade sem recheio e jogar por cima da outra. 
- Aguardar até o ponto desejado e retirar. 
Dica: E ai, quebrou?",,OMELETE,QUEIJO MINAS,OVOS FRESCOS,350
Picadinho de Carne com Salada,10',"-Colocar a vasilha de vidro com Picadinho de Carne  por 2’ no microondas, misturar e colocar mais um minuto. 
-Servir nos pratos juntos da salada escolhida.
Dica: Tá preguiçosa filha?",,PICADINHO REFOGADO,,PICADINHO REFOGADO,400
Picadinho de Frango com Salada,10',"-Colocar a vasilha de vidro com Picadinho de Frango  por 2’ no microondas, misturar e colocar mais um minuto. 
-Servir nos pratos juntos da salada escolhida.
Dica: Que esforço sobrehumano.",,PICADINHO DE FRANGO,,PICADINHO DE FRANGO COZIDO,350
