Requisito,Ingrediente,Quantidade
ALFACE LIMPA,Alface Americana,70g
TOMATE CORTADO,Tomate Salada,70g
CENOURA RALADA,Cenoura,70g
CENOURA COZIDA,Cenoura,70g
CENOURA CORTADA EM RODELAS,Cenoura,70g
BRÓCOLIS COZIDO,Brócolis,70g
BÓCOLIS CORTADO LIMPO,Brócolis,70g
LATA DE MILHO,Milho Verde Cozido,70g
LATA DE ERVILHA,Ervilha Cozida,70g
GRÃO DE BICO,Grão de Bico Cozido,70g
ABOBRINHA RALADA,Abobrinha,70g
ABOBRINHA CORTADA EM RODELAS,Abobrinha,70g
REPOLHO LIMPO CORTADO FINO,Repolho,70g
REPOLHO LIMPO CORTADO GROSSO,Repolho,70g
QUIABO LIMPO CORTADO,Quiabo,70g
FEIJAO COZIDO,Feijão,70g
FEIJÃO LIQUADO,Feijão,70g
CARNE MOIDA REFOGADA,Lagarto/Patinho/Acém,100g
CARNE MOIDA COM MOLHO DE TOMATE,Lagarto/Patinho/Acém,100g
PICADINHO REFOGADO,Lagarto/Patinho/Acém,100g
PICADINHO COM MOLHO DE TOMATE,Lagarto/Patinho/Acém,100g
BIFE TEMPERADO,Alcatra/Contrafilé,100g
PEITO DE FRANGO TEMPERADO,Peito de Frango,100g
PEITO DE FRANGO COZIDO DESFIADO,Peito de Frango,100g
PICADINHO DE FRANGO COZIDO,Peito de Frango,100g
COXA/SOBRECOXA TEMPERADA,Coxa / Sobrecoxa,150g
FILÉ DE PEIXE TEMPERADO,Tilápia/Truta,100g
ARROZ COZIDO,Arroz,70g
BATATA COZIDA,Batata Inglesa,100g
PURE DE BATATA,Batata Inglesa,100g
ABOBORA COZIDA,Batata Inglesa,100g
PURE DE ABOBORA,Batata Inglesa,100g
OVOS FRESCOS,Ovos,1
VAGEM COZIDA,Vagem,100g
RÚCULA LIMPA,Rúcula,70g
